                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3148,                 3.6242,                 1.5159,                 1.2606,                 0.7376,                0.46453,                0.58528,                0.32985,                 0.6987,                0.42946,                0.53674,                 0.2345,                 1.8413,                 3.0904,                0.98656,                 1.1511,             0.00066625,             0.00066625,             0.00066625
                      2,                 2.0094,                 3.2822,                 1.0312,                 1.1719,                0.73677,                 0.4641,                0.58729,                0.31454,                0.69526,                0.43095,                0.53275,                 0.2323,                 1.8402,                 2.9932,                0.95635,                 1.1291,              0.0012449,              0.0012449,              0.0012449
                      3,                 1.9578,                 3.2119,                0.98749,                 1.1592,                 0.7561,                0.47787,                  0.604,                0.34565,                0.73978,                0.45474,                0.57283,                0.26674,                  1.771,                 2.8815,                0.92841,                 1.1201,              0.0017356,              0.0017356,              0.0017356
                      4,                 1.9169,                 3.1159,                0.96068,                 1.1476,                0.77248,                0.48743,                0.61466,                0.35419,                0.74427,                0.45895,                 0.5714,                0.26067,                 1.7046,                 2.7959,                0.90653,                 1.1092,               0.001604,               0.001604,               0.001604
                      5,                 1.8843,                 3.0718,                0.93784,                  1.139,                0.77567,                0.48393,                0.61467,                0.35813,                0.75339,                0.45928,                0.57489,                0.25869,                 1.7172,                  2.789,                0.90055,                 1.1101,               0.001472,               0.001472,               0.001472
                      6,                 1.8189,                  2.983,                0.96155,                 1.1432,                0.77788,                0.48527,                0.61452,                0.36274,                0.75701,                0.46215,                0.58014,                0.27378,                 1.6782,                 2.7061,                0.90239,                 1.1111,                0.00134,                0.00134,                0.00134
                      7,                 1.7805,                 2.9511,                0.92953,                 1.1344,                0.77797,                0.48402,                0.61379,                  0.373,                0.75952,                0.46363,                0.58401,                0.27493,                 1.6602,                 2.6824,                0.89274,                 1.0944,               0.001208,               0.001208,               0.001208
                      8,                 1.7533,                 2.8815,                0.90444,                 1.1208,                0.78348,                0.49167,                0.62123,                 0.3735,                0.75696,                0.46834,                 0.5801,                0.26438,                 1.6409,                 2.6168,                0.85959,                 1.0853,               0.001076,               0.001076,               0.001076
                      9,                 1.7321,                 2.8489,                0.88874,                 1.1146,                0.78313,                0.49155,                0.62065,                0.37559,                0.76093,                0.46993,                0.58391,                0.26717,                 1.6376,                 2.6284,                0.86751,                 1.0863,               0.000944,               0.000944,               0.000944
                     10,                 1.7139,                 2.8274,                0.88346,                 1.1101,                0.79091,                0.49127,                  0.623,                0.37507,                0.76525,                0.47179,                0.58253,                0.26367,                 1.6305,                 2.6126,                0.85604,                 1.0874,               0.000812,               0.000812,               0.000812
                     11,                 1.7158,                 2.8141,                0.86472,                 1.1045,                0.80165,                0.49969,                0.63234,                0.38809,                0.77853,                0.47828,                0.59535,                0.27578,                 1.5925,                 2.5789,                0.83507,                 1.0773,                0.00068,                0.00068,                0.00068
                     12,                 1.6915,                 2.7878,                0.85948,                 1.1009,                0.80343,                0.49975,                0.63272,                0.38567,                0.78207,                0.47981,                0.59701,                0.28175,                 1.5897,                 2.5715,                0.83716,                 1.0754,               0.000548,               0.000548,               0.000548
                     13,                  1.679,                 2.7827,                0.84937,                 1.0983,                0.79026,                0.49529,                0.62597,                0.38337,                0.76899,                0.47659,                0.59074,                0.27459,                 1.6051,                 2.5942,                0.84532,                 1.0751,               0.000416,               0.000416,               0.000416
                     14,                  1.674,                 2.7398,                0.84211,                 1.0939,                0.81524,                0.50498,                0.63883,                0.39409,                0.79082,                0.48101,                0.59975,                0.28298,                 1.5716,                 2.5229,                0.81608,                 1.0736,               0.000284,               0.000284,               0.000284
                     15,                 1.6564,                 2.7192,                0.82883,                 1.0855,                0.81282,                0.50378,                0.63861,                0.39732,                0.79171,                0.48437,                0.60584,                 0.2903,                 1.5629,                 2.5206,                0.81329,                 1.0683,               0.000152,               0.000152,               0.000152
